task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	47/27da89	29805066	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	CACHED	0	2022-09-16 10:56:06.148	8m 28s	2m 31s	471.3%	6.6 GB	9.2 GB	5.1 GB	6.6 GB
3	b6/686690	29805068	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	CACHED	0	2022-09-16 10:56:09.681	1m 34s	5s	73.2%	42.4 MB	54.7 MB	449.9 MB	35.1 MB
4	f9/821486	29805065	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	CACHED	0	2022-09-16 10:56:04.346	1m 35s	3s	81.8%	2.7 MB	11.8 MB	413.1 MB	6.5 KB
2	17/8bd2ea	29805067	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (vcard.gtf)	CACHED	0	2022-09-16 10:56:06.847	1m 37s	5s	90.2%	158.7 MB	181.8 MB	35.3 MB	1.5 MB
1	39/a1dd5d	29805069	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (sample_sheet_test.csv)	CACHED	0	2022-09-16 10:56:09.868	1m 29s	2s	16.0%	3.2 MB	13.4 MB	1.5 MB	1.1 KB
6	8b/51287c	29805127	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	CACHED	0	2022-09-16 10:58:27.861	1h 3m 7s	11s	92.5%	92.4 MB	132.6 MB	485.5 MB	95.1 MB
9	52/aa66c3	29805123	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (LDAL_PF_A_4)	CACHED	0	2022-09-16 10:58:15.307	15m 39s	11m 57s	196.6%	1.5 GB	4.4 GB	8.2 GB	4.3 MB
8	eb/4ae687	29805125	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HDLI_V_A_3)	CACHED	0	2022-09-16 10:58:23.267	1h 5m 16s	52m 37s	464.6%	3.1 GB	3.7 GB	274.1 GB	265.4 GB
7	44/472af0	29805124	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDLI_V_A_3)	CACHED	0	2022-09-16 10:58:15.447	20m 24s	12m 13s	200.0%	1.4 GB	4.3 GB	8.7 GB	4.3 MB
11	27/7f3f27	29805451	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (HDLI_V_A_3)	CACHED	0	2022-09-16 12:03:39.906	2h 46m 45s	2h 44m 19s	1166.3%	10.1 GB	11.6 GB	86.1 GB	15.9 GB
