task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	0e/d988d1	27613002	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GFFREAD (genes.gff)	CACHED	0	2022-06-09 18:18:00.533	4m 7s	1s	90.4%	2.5 MB	24.1 MB	20.8 MB	15.9 MB
1	94/e468c7	27613003	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	CACHED	0	2022-06-09 18:18:00.582	4m 7s	3s	91.8%	2.7 MB	11.8 MB	413.1 MB	6.5 KB
2	2d/6ce0e1	27613004	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (sample_sheet.csv)	CACHED	0	2022-06-09 18:18:00.673	4m 7s	2s	14.3%	3.2 MB	13.7 MB	1.5 MB	52.2 KB
5	52/1f6c5b	27613010	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	CACHED	0	2022-06-09 18:22:10.033	5m 42s	5s	55.5%	26 MB	37.8 MB	430.6 MB	15.9 MB
6	65/f19ea6	27613011	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	CACHED	0	2022-06-09 18:22:12.057	5m 35s	3s	85.6%	107.9 MB	131 MB	16.1 MB	1.5 MB
4	02/b194be	27613009	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	CACHED	0	2022-06-09 18:22:09.434	8m 8s	2m 31s	466.2%	6.7 GB	9.2 GB	5 GB	6.7 GB
9	98/a9168f	27613013	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_A_11)	CACHED	0	2022-06-09 18:22:14.731	11m 53s	6m 20s	196.7%	1.5 GB	4.4 GB	5.2 GB	4.3 MB
10	54/bedfd3	27613012	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_A_19)	CACHED	0	2022-06-09 18:22:14.633	12m 8s	6m 37s	198.5%	1.5 GB	4.3 GB	5.4 GB	4.3 MB
12	a3/986bd8	27613014	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_A_3)	CACHED	0	2022-06-09 18:22:14.761	12m 33s	7m 1s	198.0%	1.3 GB	4.3 GB	5.8 GB	4.3 MB
13	48/535e62	27613015	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_A_7)	CACHED	0	2022-06-09 18:22:14.848	11m 53s	6m 21s	196.7%	1.5 GB	4.3 GB	4.8 GB	4.3 MB
14	56/cd2eb4	27613019	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_A_9)	CACHED	0	2022-06-09 18:22:15.954	20m 2s	9m 7s	198.3%	1.4 GB	4.4 GB	6.9 GB	4.3 MB
11	74/c8118d	27613016	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (AL_ADF_A_19)	CACHED	0	2022-06-09 18:22:14.942	39m 8s	33m 35s	484.6%	3.1 GB	3.7 GB	168.1 GB	162.6 GB
8	83/335510	27613017	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (AL_ADF_A_11)	CACHED	0	2022-06-09 18:22:14.968	37m 53s	32m 19s	486.2%	3.1 GB	3.8 GB	163.8 GB	158.5 GB
15	7b/295a2f	27613021	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_H_11)	CACHED	0	2022-06-09 18:22:16.265	18m 21s	7m 32s	198.4%	1.5 GB	4.3 GB	5.5 GB	4.3 MB
16	6d/39ebe3	27613026	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_H_3)	CACHED	0	2022-06-09 18:22:17.399	23m 15s	6m 41s	198.7%	1.4 GB	4.3 GB	5.5 GB	4.3 MB
17	fa/d4b05d	27613024	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_H_7)	CACHED	0	2022-06-09 18:22:17.350	23m 35s	7m 4s	200.2%	1.4 GB	4.3 GB	5.5 GB	4.3 MB
18	f5/d18458	27613028	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (AL_ADF_H_9)	CACHED	0	2022-06-09 18:22:17.476	24m	7m 27s	197.5%	1.5 GB	4.3 GB	5.8 GB	4.3 MB
19	9b/213f97	27613030	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADF_A_1)	CACHED	0	2022-06-09 18:22:17.573	25m 25s	8m 52s	198.3%	1.4 GB	4.3 GB	6.8 GB	4.3 MB
20	7f/1bd45f	27613032	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADF_A_18)	CACHED	0	2022-06-09 18:22:17.665	32m 30s	10m 45s	189.7%	1.5 GB	4.3 GB	7.5 GB	4.3 MB
21	7f/aca54b	27613036	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADF_A_3)	CACHED	0	2022-06-09 18:22:22.655	29m 40s	7m 57s	197.2%	1.4 GB	4.3 GB	6.5 GB	4.3 MB
22	61/db1857	27613034	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADF_H_1)	CACHED	0	2022-06-09 18:22:22.590	31m 40s	9m 54s	197.1%	1.4 GB	4.3 GB	7.4 GB	4.3 MB
23	87/32a9df	27613038	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADF_H_18)	CACHED	0	2022-06-09 18:22:22.806	29m 40s	7m 56s	195.6%	1.5 GB	4.3 GB	6.6 GB	4.3 MB
25	16/c5e8af	27613020	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (AL_ADF_A_7)	CACHED	0	2022-06-09 18:22:16.233	40m 46s	29m 52s	483.1%	3.1 GB	3.7 GB	152.2 GB	147.2 GB
29	b4/267e86	27613043	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADM_A_1)	CACHED	0	2022-06-09 18:22:23.932	35m 54s	8m 32s	196.3%	1.5 GB	4.4 GB	6.7 GB	4.3 MB
24	b6/fc019d	27613018	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (AL_ADF_A_3)	CACHED	0	2022-06-09 18:22:15.058	45m 22s	34m 27s	485.8%	3.1 GB	3.7 GB	183.9 GB	177.9 GB
28	bf/4b0de8	27613040	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADF_H_3)	CACHED	0	2022-06-09 18:22:22.872	36m 30s	9m 11s	200.0%	1.4 GB	4.4 GB	7.3 GB	4.3 MB
26	1b/65d30b	27621764	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (AL_ADF_A_11)	CACHED	0	2022-06-09 21:23:17.927	2h 28m 25s	1h 21m 46s	1152.1%	10 GB	11.6 GB	52.4 GB	8.9 GB
31	0f/7ee95e	27613042	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HDAL_ADM_A_18)	CACHED	0	2022-06-09 18:22:22.957	38m 30s	11m 7s	197.3%	1.5 GB	4.3 GB	9.2 GB	4.3 MB
30	44/d98188	27613022	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (AL_ADF_A_9)	CACHED	0	2022-06-09 18:22:16.370	55m 11s	44m 13s	477.5%	3.1 GB	3.7 GB	217.1 GB	210.2 GB
